,0,1,2,3,4,5
5710,102037,UNIVERSAL CORP /VA/,10-Q,2018-02-06,edgar/data/102037/0000102037-18-000007.txt,edgar/data/102037/0000102037-18-000007-index.html
5838,1020859,UNITED NATURAL FOODS INC,10-Q,2018-03-08,edgar/data/1020859/0001020859-18-000018.txt,edgar/data/1020859/0001020859-18-000018-index.html
5884,102109,UNIVERSAL SECURITY INSTRUMENTS INC,10-Q,2018-02-20,edgar/data/102109/0001144204-18-009787.txt,edgar/data/102109/0001144204-18-009787-index.html
5892,1021162,TRIUMPH GROUP INC,10-Q,2018-02-07,edgar/data/1021162/0001021162-18-000009.txt,edgar/data/1021162/0001021162-18-000009-index.html
6345,1022408,EPLUS INC,10-Q,2018-02-08,edgar/data/1022408/0001022408-18-000003.txt,edgar/data/1022408/0001022408-18-000003-index.html
6417,1022505,CIPHERLOC Corp,10-Q,2018-02-20,edgar/data/1022505/0001493152-18-002353.txt,edgar/data/1022505/0001493152-18-002353-index.html
6686,1023459,SIMULATIONS PLUS INC,10-Q,2018-01-09,edgar/data/1023459/0001683168-18-000086.txt,edgar/data/1023459/0001683168-18-000086-index.html
6754,1023731,8X8 INC /DE/,10-Q,2018-02-01,edgar/data/1023731/0001136261-18-000022.txt,edgar/data/1023731/0001136261-18-000022-index.html
6775,1023844,NATIONAL HOLDINGS CORP,10-Q,2018-02-14,edgar/data/1023844/0001023844-18-000003.txt,edgar/data/1023844/0001023844-18-000003-index.html
6856,1024075,POWER EFFICIENCY CORP,10-Q,2018-01-22,edgar/data/1024075/0001144204-18-003123.txt,edgar/data/1024075/0001144204-18-003123-index.html
6897,1024305,COTY INC.,10-Q,2018-02-08,edgar/data/1024305/0001024305-18-000006.txt,edgar/data/1024305/0001024305-18-000006-index.html
6925,1024478,ROCKWELL AUTOMATION INC,10-Q,2018-01-31,edgar/data/1024478/0001024478-18-000006.txt,edgar/data/1024478/0001024478-18-000006-index.html
