CompanyName
Alphabet Inc
General Electric Co
Eaton Corp PLC
PepsiCo Inc
Kraft Heinz Co/The
Facebook Inc
Microchip Technology Inc
Silicon Laboratories
JPMorgan Chase & Co
State Street Corp
American Express Co
Verizon Communications Inc
Boeing Co/The
Coca-Cola Co/The
Walt Disney Co/The
Phillips 66
Home Depot Inc/The
Johnson & Johnson
McDonald's Corp
Microsoft Corp
Walmart Inc
FedEx Corp
Macy's Inc
Harley-Davidson Inc
Oracle Corp
Southwest Airlines Co
Tiffany & Co
UnitedHealth Group Inc
Costco Wholesale Corp
Starbucks Corp
Ford Motor Co
NextEra Energy Inc
Franklin Resources Inc
Freeport-McMoRan Inc
Gap Inc/The
General Dynamics Corp
General Mills Inc
Genuine Parts Co
Atmos Energy Corp
WW Grainger Inc
Halliburton Co
Keysight Technologies Inc
UnitedHealth Group Inc
Unum Group
Marathon Oil Corp
Varian Medical Systems Inc
Ventas Inc
Alliance Data Systems Corp
LKQ Corp
Nielsen Holdings PLC
Garmin Ltd
Cimarex Energy Co
Zoetis Inc
Equinix Inc
Digital Realty Trust Inc
Discovery Inc
PayPal Holdings Inc
Seagate Technology PLC
Diamondback Energy Inc
Discovery Inc
