"X","X0","X1","X2","X3","X4","X5"
137563,1527844,"Capital Art, Inc.","10-Q","2018-03-02","edgar/data/1527844/0001663577-18-000115.txt","edgar/data/1527844/0001663577-18-000115-index.html"
137564,1527844,"Capital Art, Inc.","10-Q","2018-03-02","edgar/data/1527844/0001663577-18-000117.txt","edgar/data/1527844/0001663577-18-000117-index.html"
137565,1527844,"Capital Art, Inc.","10-Q","2018-03-02","edgar/data/1527844/0001663577-18-000119.txt","edgar/data/1527844/0001663577-18-000119-index.html"
137706,1528308,"IONIX TECHNOLOGY, INC.","10-Q","2018-02-14","edgar/data/1528308/0001214659-18-001189.txt","edgar/data/1528308/0001214659-18-001189-index.html"
137738,1528396,"Guidewire Software, Inc.","10-Q","2018-03-07","edgar/data/1528396/0001528396-18-000019.txt","edgar/data/1528396/0001528396-18-000019-index.html"
137863,1528697,"Apawthecary Pets USA","10-Q","2018-01-22","edgar/data/1528697/0001477932-18-000395.txt","edgar/data/1528697/0001477932-18-000395-index.html"
138330,1530163,"Darkstar Ventures, Inc.","10-Q","2018-03-20","edgar/data/1530163/0001558891-18-000024.txt","edgar/data/1530163/0001558891-18-000024-index.html"
138334,1530185,"AMERITEK VENTURES","10-Q","2018-01-22","edgar/data/1530185/0001530185-18-000002.txt","edgar/data/1530185/0001530185-18-000002-index.html"
138383,1530425,"Lash, Inc.","10-Q","2018-02-21","edgar/data/1530425/0001477932-18-000974.txt","edgar/data/1530425/0001477932-18-000974-index.html"
138407,1530721,"Michael Kors Holdings Ltd","10-Q","2018-02-13","edgar/data/1530721/0001530721-18-000007.txt","edgar/data/1530721/0001530721-18-000007-index.html"
138523,1530950,"Post Holdings, Inc.","10-Q","2018-02-02","edgar/data/1530950/0001530950-18-000031.txt","edgar/data/1530950/0001530950-18-000031-index.html"
138928,1532390,"ALKALINE WATER Co INC","10-Q","2018-02-20","edgar/data/1532390/0001062993-18-000926.txt","edgar/data/1532390/0001062993-18-000926-index.html"
